DESTINATION         DEPARTURE TIME      FLIGHT DURATION     ECONOMY CLASS       FIRST CLASS
IOANNINA            984                 614                 98                  12
CARACAS             1392                317                 110                 5
INSTABUL            40                  135                 143                 12
SEVILLE             1003                567                 132                 11
LUXEMBURG           1400                434                 140                 9
SYDNEY              721                 191                 98                  12
KAVALA              669                 799                 111                 11
KAVALA              1125                812                 95                  10
GENOA               910                 1060                123                 9
LIVERPOOL           1413                861                 118                 9
IOANNINA            1232                1195                116                 13
FLORENCE            218                 856                 141                 10
MELBOURNE           1397                759                 136                 9
THESSALONIKI        1117                615                 123                 15
SARAJEVO            929                 968                 123                 11
TORONTO             793                 327                 116                 14
MANCHESTER          7                   872                 131                 14
CARACAS             465                 370                 99                  10
WARSAW              406                 120                 120                 13
MOSCOW              948                 1162                135                 7
LONDON              1298                163                 126                 9
FRANKFURT           1078                927                 145                 10
KEFALONIA           522                 806                 127                 7
KALAMATA            1390                540                 123                 11
BELIGRADE           779                 931                 117                 9
RHODES              413                 177                 96                  15
MANCHESTER          1298                535                 118                 10
STOCKHOLM           21                  816                 116                 10
BRISTOL             669                 574                 96                  7
BASEL               658                 1109                102                 7
LAGOS               804                 702                 106                 10
DOHA                1102                583                 135                 14
LONDON              96                  617                 145                 12
DORTMUND            250                 386                 113                 5
LONDON              4                   168                 107                 7
BERLIN              310                 867                 96                  7
CARACAS             39                  1099                132                 8
MONACO              21                  855                 112                 5
MALAGA              1122                1026                135                 10
CASABLANCA          538                 335                 144                 15
BOSTON              996                 1115                132                 5
OTTAWA              171                 835                 98                  10
MANCHESTER          808                 685                 131                 9
BREMEN              381                 809                 134                 15
DOHA                470                 605                 127                 8
PATRAS              1173                723                 138                 6
BUDAPEST            1383                167                 113                 7
NICOSIA             184                 964                 136                 9
MONACO              840                 692                 131                 6
MALAGA              1018                524                 106                 9
BUCHAREST           320                 569                 112                 6
VOLOS               122                 596                 97                  10
THESSALONIKI        1123                580                 127                 10
MANCHESTER          1351                256                 135                 7
BRISTOL             389                 1098                127                 11
MALTA               590                 1198                126                 13
NAPOLI              32                  610                 104                 10
COPEGHAGEN          1290                127                 110                 6
ANKARA              620                 708                 139                 14
BELIGRADE           903                 832                 105                 9
LISBON              388                 222                 125                 8
MALTA               606                 1102                121                 15
LILLE               822                 92                  128                 14
MONACO              202                 943                 108                 15
JOHANNESBURG        1373                1071                97                  5
RABAT               606                 64                  122                 7
DORTMUND            1345                178                 97                  15
MOSCOW              1093                807                 110                 5
MYTILENE            301                 605                 109                 8
KOS                 1082                67                  112                 5
WASHIGTON           1346                964                 118                 7
NAPOLI              319                 802                 104                 6
LIVERPOOL           347                 1071                95                  6
OSLO                468                 928                 106                 13
TORONTO             1050                156                 108                 6
LAGOS               1115                337                 136                 11
BIRMINGHAM          639                 1184                108                 8
BOSTON              853                 1146                95                  14
LAGOS               341                 430                 95                  15
WASHIGTON           140                 589                 123                 8
DOHA                1236                661                 130                 6
OTTAWA              1375                196                 111                 7
COPEGHAGEN          1133                152                 125                 7
BRUSSELS            1067                332                 99                  9
BARCELONA           1247                509                 106                 6
THESSALONIKI        869                 1057                107                 7
RECIFE              1131                1171                134                 6
MYTILENE            320                 677                 142                 6
RECIFE              1373                163                 115                 7
LEEDS               1359                484                 145                 13
COPEGHAGEN          561                 672                 97                  8
WASHIGTON           1219                643                 141                 13
LUXEMBURG           551                 103                 137                 6
HAMBURG             807                 359                 131                 7
BILBAO              226                 391                 124                 13
GUATEMALA           37                  1155                118                 14
NICE                141                 1189                101                 8
BREMEN              622                 843                 127                 14
IOANNINA            315                 206                 123                 7
DOHA                1347                728                 106                 5
SARAJEVO            1099                1085                134                 7
LIVERPOOL           657                 1196                96                  14
BOLOGNA             186                 337                 103                 8
VALENCIA            535                 275                 132                 5
NICOSIA             216                 268                 136                 13
NEWCASTLE           704                 443                 131                 8
ZAGREB              860                 1115                110                 12
BRUSSELS            1008                1039                97                  14
LARNACA             839                 456                 111                 15
BIRMINGHAM          362                 172                 95                  8
MONACO              1287                201                 121                 15
ATLANTA             56                  1198                140                 8
KIEV                275                 1183                117                 5
PARIS               1101                1103                95                  8
PARIS               873                 665                 122                 12
KIEV                1223                280                 126                 11
THESSALONIKI        77                  504                 144                 9
MUNICH              67                  1188                112                 12
DORTMUND            906                 449                 103                 13
FRANKFURT           1203                690                 107                 7
VIGO                391                 1070                103                 10
CORFU               453                 1060                107                 14
FLORENCE            635                 386                 108                 10
MUNICH              1206                115                 127                 15
AMSTERDAM           1162                231                 129                 11
BANGKOK             880                 217                 102                 7
ALEXANDROUPOLI      435                 475                 136                 11
SYDNEY              456                 341                 122                 7
DORTMUND            167                 659                 100                 11
THESSALONIKI        1067                385                 138                 5
HAVANA              483                 208                 128                 5
GENOA               55                  399                 135                 11
LILLE               1008                877                 111                 14
STOCKHOLM           1008                707                 133                 15
MELBOURNE           1385                233                 132                 13
FRANKFURT           407                 437                 123                 10
BUDAPEST            1252                1118                99                  14
JERUSALEM           1359                521                 96                  10
CASABLANCA          777                 315                 97                  14
ATLANTA             642                 196                 111                 7
COPEGHAGEN          17                  599                 134                 12
FLORENCE            486                 897                 109                 8
IOANNINA            801                 840                 120                 10
IOANNINA            1356                404                 134                 14
LIVERPOOL           413                 677                 100                 13
MONACO              1222                466                 103                 13
LISBON              661                 220                 114                 15
AMSTERDAM           1094                563                 104                 14
VALENCIA            1206                826                 127                 7
ALEXANDRIA          1234                168                 138                 8
NEWCASTLE           556                 468                 141                 5
PATRAS              1161                1058                111                 13
KEFALONIA           308                 287                 125                 8
BELIGRADE           989                 431                 135                 5
MARSEILLE           265                 924                 133                 7
BRUSSELS            230                 821                 122                 12
OTTAWA              697                 86                  138                 13
KAVALA              455                 316                 108                 13
PATRAS              299                 784                 114                 7
ALEXANDROUPOLI      825                 426                 116                 7
BIRMINGHAM          569                 520                 137                 8
THESSALONIKI        528                 392                 99                  10
CHANIA              279                 275                 102                 12
BERN                552                 74                  138                 12
CAIRO               1421                372                 126                 13
MALAGA              13                  672                 123                 13
RABAT               360                 841                 106                 9
VIGO                155                 386                 116                 10
BUDAPEST            412                 132                 114                 12
LIVERPOOL           481                 783                 139                 12
HAVANA              440                 509                 132                 12
MILAN               783                 1117                131                 9
SYDNEY              1221                798                 131                 9
DOHA                1018                423                 124                 11
MALAGA              179                 797                 119                 12
BARCELONA           158                 437                 99                  12
KALAMATA            663                 1172                108                 5
HAMBURG             1198                604                 106                 10
ZAGREB              256                 279                 122                 15
BERLIN              0                   336                 118                 9
MUNICH              288                 505                 128                 12
VOLOS               1437                1198                125                 13
INSTABUL            941                 826                 117                 13
PRAGUE              1384                914                 103                 15
SEVILLE             504                 218                 102                 6
NICOSIA             1144                729                 111                 5
KALAMATA            949                 1080                102                 5
NAPOLI              947                 1102                98                  13
MARSEILLE           1370                622                 105                 14
IOANNINA            775                 595                 133                 15
NICE                56                  649                 133                 5
HAVANA              478                 395                 119                 14
PATRAS              52                  467                 134                 14
WASHIGTON           586                 118                 109                 8
ICARIA              806                 580                 144                 7
SEVILLE             198                 872                 113                 10
BERLIN              516                 178                 129                 11
HAMBURG             907                 176                 123                 7
LISBON              883                 995                 100                 13
PRAGUE              484                 973                 100                 10
JOHANNESBURG        114                 75                  123                 6
DUBLIN              133                 776                 106                 8
RABAT               820                 1076                109                 10
KOS                 271                 711                 136                 13
NAPOLI              1164                601                 119                 5
LEEDS               580                 395                 137                 12
BASEL               1124                1142                108                 14
ALEXANDRIA          181                 105                 122                 13
